ddu_numero,estado,url,archivo,http_status,detalle
32,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir32.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-032.pdf,200,14.4
57,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir57.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-057.pdf,200,12.0
76,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir76.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-076.pdf,200,14.8
82,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir82.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-082.pdf,200,12.4
87,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir87.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-087.pdf,200,13.9
105,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir105.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-105.pdf,200,19.8
112,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir112.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-112.pdf,200,12.7
115,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir115.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-115.pdf,200,20.0
117,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir117.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-117.pdf,200,16.2
124,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir124.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-124.pdf,200,12.9
129,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir129.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-129.pdf,200,13.4
130,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir130.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-130.pdf,200,17.7
133,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir133.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-133.pdf,200,14.0
135,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir135.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-135.pdf,200,14.2
137,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir137.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-137.pdf,200,17.2
178,ok,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir178.pdf,C:\00_CLAUDE CODE\REVISOR-ARQ\NORMATIVA\normativa_chile\12_Tecnica_Estructural_y_Normas_Oficializadas\DDU_Circulares_Division_Desarrollo_Urbano\DDU-178.pdf,200,18.3
